lista: nume
Andrei Popescu: 8
Elena Ionescu: 7
Ion Mihai: 6
Ana Radu: 9
Alex Gheorghe: 5
Maria Tudor: 8
Vlad Dumitru: 3
Gabriela Neagu: 4
Adrian Vasilescu: 7
Roxana Moldovan: 6
Andrei Stan: 8
Larisa Dragomir: 5
Radu Stoica: 9
Ioana Marinescu: 2
Victor Stancu: 6
Andreea Negulescu: 7
Cristian Vladescu: 9
Delia Costache: 4
Robert Ivanescu: 8
Bianca Marin: 6
Dan Badea: 9
Raluca Iancu: 5
Mircea Dobrescu: 8
Laura Grigorescu: 7
Andrei Voicu: 3
Elena Popa: 9
Gabriel Vasile: 4
Alina Georgescu: 5
Florin Istrate: 6
Roxana Luca: 7
